,country,2017,2018,2019,2020,2021,2022,2023,continent
1,Afghanistan,12486631,19542982,28189672,40099462,41128771,50330837,74075234,Asia
2,Albania,2941651,3182021,2913399,2854710,2842321,2789599,2456472,Europe
3,Algeria,18739378,30774621,35856344,44177969,44903225,49787283,60001113,Africa
4,Andorra,35611,66097,71519,79034,79824,81528,80504,Europe
5,Angola,8330047,16394062,23364185,34503774,35588987,44911664,72328068,Africa
6,Antigua and Barbuda,64889,75055,85695,93219,93763,97510,99030,Americas
7,Argentina,28024803,37070774,41100123,45276780,45510318,47678560,51621175,Americas
8,Armenia,3135123,3168523,2946293,2790974,2780469,2759528,2573465,Asia
9,Australia,14706322,19017963,22019168,25921089,26177413,28202414,32192919,Oceania
10,Austria,7547561,8010428,8362829,8922082,8939617,9054576,8924190,Europe
11,Azerbaijan,6383060,8190337,9237202,10312992,10358074,10711138,10867296,Asia
12,Bahamas,223752,325014,373272,407906,409984,429846,450625,Americas
13,Bahrain,362595,711442,1213645,1463265,1472233,1574679,1809237,Asia
14,Bangladesh,83929765,129193327,148391139,169356251,171186372,184424144,203904900,Asia
15,Barbados,253575,264657,274711,281200,281635,283082,267788,Americas
16,Belarus,9817257,10256483,9731427,9578167,9534954,9206170,8409632,Europe
17,Belgium,9828986,10264343,10877947,11611419,11655930,11873460,12090657,Europe
18,Belize,145133,240406,322106,400031,405272,450428,538838,Americas
19,Benin,3833939,6998023,9445710,12996895,13352864,16393827,25264035,Africa
20,Bhutan,415257,587207,705516,777486,782455,821498,874294,Asia
21,Bolivia,5736088,8592656,10223270,12079472,12224110,13625507,16609854,Americas
22,Bosnia and Herzegovina,4199820,4179350,3811088,3270943,3233526,3111789,2739014,Europe
23,Botswana,938578,1726985,2091664,2588423,2630296,2972271,3679340,Africa
24,Brazil,122288383,175873720,196353492,214326223,215313498,223908968,230885725,Americas
25,Brunei,187921,333926,396053,445373,449002,473312,498373,Asia
26,Bulgaria,8980606,8097691,7592273,6885868,6781953,6290166,5187392,Europe
27,Burkina Faso,6932967,11882888,16116845,22100683,22673762,27523563,40541548,Africa
28,Burundi,4312834,6307659,9126605,12551213,12889576,15800530,24208671,Africa
29,Cambodia,6198959,12118841,14363532,16589023,16767842,18084248,20258435,Asia
30,Cameroon,8519891,15091594,19878036,27198628,27914536,34051103,51279560,Africa
