"","X","country","continent","year","population"
"1",1248,"India","Asia",2023,1670490596
"2",1053,"India","Asia",2022,1514994080
"3",621,"China","Asia",2020,1425893465
"4",816,"China","Asia",2021,1425887337
"5",858,"India","Asia",2021,1417173173
"6",1011,"China","Asia",2022,1415605906
"7",663,"India","Asia",2020,1407563842
"8",426,"China","Asia",2019,1348191368
"9",1206,"China","Asia",2023,1312636325
"10",231,"China","Asia",2018,1264099069
"11",468,"India","Asia",2019,1240613620
"12",273,"India","Asia",2018,1059633675
"13",36,"China","Asia",2017,982372466
"14",78,"India","Asia",2017,696828385
"15",1298,"Nigeria","Africa",2023,377459883
"16",1358,"United States","Americas",2023,375391963
"17",1301,"Pakistan","Asia",2023,367808468
"18",1163,"United States","Americas",2022,352162301
"19",968,"United States","Americas",2021,338289857
"20",773,"United States","Americas",2020,336997624
"21",1249,"Indonesia","Asia",2023,317225213
"22",578,"United States","Americas",2019,311182845
"23",1054,"Indonesia","Asia",2022,292150100
"24",383,"United States","Americas",2018,282398554
"25",859,"Indonesia","Asia",2021,275501339
"26",1106,"Pakistan","Asia",2022,274029836
"27",664,"Indonesia","Asia",2020,273753191
"28",1103,"Nigeria","Africa",2022,262580426
"29",469,"Indonesia","Asia",2019,244016173
"30",911,"Pakistan","Asia",2021,235824862
"31",716,"Pakistan","Asia",2020,231402117
"32",1194,"Brazil","Americas",2023,230885725
"33",999,"Brazil","Americas",2022,223908968
"34",188,"United States","Americas",2017,223140018
"35",908,"Nigeria","Africa",2021,218541212
"36",1218,"DR Congo","Africa",2023,217494003
"37",804,"Brazil","Americas",2021,215313498
"38",1225,"Ethiopia","Africa",2023,214812309
"39",609,"Brazil","Americas",2020,214326223
"40",274,"Indonesia","Asia",2018,214072421
"41",713,"Nigeria","Africa",2020,213401323
"42",1184,"Bangladesh","Asia",2023,203904900
"43",414,"Brazil","Americas",2019,196353492
"44",521,"Pakistan","Asia",2019,194454498
"45",989,"Bangladesh","Asia",2022,184424144
"46",219,"Brazil","Americas",2018,175873720
"47",794,"Bangladesh","Asia",2021,171186372
"48",599,"Bangladesh","Asia",2020,169356251
"49",518,"Nigeria","Africa",2019,160952853
"50",1220,"Egypt","Africa",2023,160339889
"51",1308,"Philippines","Asia",2023,157891622
"52",326,"Pakistan","Asia",2018,154369924
"53",1030,"Ethiopia","Africa",2022,149296378
"54",404,"Bangladesh","Asia",2019,148391139
"55",79,"Indonesia","Asia",2017,148177096
"56",340,"Russia","Europe",2018,146844839
"57",730,"Russia","Europe",2020,145102755
"58",925,"Russia","Europe",2021,144713314
"59",1282,"Mexico","Americas",2023,143772364
"60",535,"Russia","Europe",2019,143242599
"61",1120,"Russia","Europe",2022,141432741
"62",145,"Russia","Europe",2017,138257420
"63",1087,"Mexico","Americas",2022,134534107
"64",1315,"Russia","Europe",2023,133133035
"65",1344,"Tanzania","Africa",2023,129931520
"66",1113,"Philippines","Asia",2022,129453321
"67",209,"Bangladesh","Asia",2018,129193327
"68",475,"Japan","Asia",2019,128105431
"69",1023,"DR Congo","Africa",2022,127582053
"70",892,"Mexico","Americas",2021,127504125
"71",280,"Japan","Asia",2018,126803861
"72",697,"Mexico","Americas",2020,126705138
"73",1025,"Egypt","Africa",2022,125151725
"74",670,"Japan","Asia",2020,124612530
"75",865,"Japan","Asia",2021,123951692
"76",835,"Ethiopia","Africa",2021,123379924
"77",323,"Nigeria","Africa",2018,122851984
"78",24,"Brazil","Americas",2017,122288383
"79",640,"Ethiopia","Africa",2020,120283026
"80",1060,"Japan","Asia",2022,118514802
"81",85,"Japan","Asia",2017,117624196
"82",918,"Philippines","Asia",2021,115559009
"83",723,"Philippines","Asia",2020,113880328
"84",502,"Mexico","Americas",2019,112532401
"85",830,"Egypt","Africa",2021,110990103
"86",635,"Egypt","Africa",2020,109262178
"87",1255,"Japan","Asia",2023,103784357
"88",828,"DR Congo","Africa",2021,99010212
"89",307,"Mexico","Americas",2018,97873442
"90",633,"DR Congo","Africa",2020,95894118
"91",1351,"Turkey","Asia",2023,95829258
"92",528,"Philippines","Asia",2019,94636700
"93",445,"Ethiopia","Africa",2019,89237791
"94",1156,"Turkey","Asia",2022,88879698
"95",1354,"Uganda","Africa",2023,87622081
"96",440,"Egypt","Africa",2019,87252413
"97",961,"Turkey","Asia",2021,85341241
"98",1258,"Kenya","Africa",2023,85211739
"99",766,"Turkey","Asia",2020,84775404
"100",1337,"Sudan","Africa",2023,84494269
"101",14,"Bangladesh","Asia",2017,83929765
"102",648,"Germany","Europe",2020,83408554
"103",843,"Germany","Europe",2021,83369843
"104",1038,"Germany","Europe",2022,82762675
"105",1149,"Tanzania","Africa",2022,81885304
"106",258,"Germany","Europe",2018,81551677
"107",453,"Germany","Europe",2019,81325090
"108",131,"Pakistan","Asia",2017,80624057
"109",1233,"Germany","Europe",2023,78932228
"110",333,"Philippines","Asia",2018,77958223
"111",63,"Germany","Europe",2017,77786703
"112",1250,"Iraq","Asia",2023,74515140
"113",1171,"Afghanistan","Asia",2023,74075234
"114",1333,"South Africa","Africa",2023,73529753
"115",571,"Turkey","Asia",2019,73195345
"116",128,"Nigeria","Africa",2017,72951439
"117",1175,"Angola","Africa",2023,72328068
"118",1150,"Thailand","Asia",2022,72060018
"119",955,"Thailand","Asia",2021,71697030
"120",1357,"United Kingdom","Europe",2023,71684966
"121",760,"Thailand","Asia",2020,71601103
"122",245,"Egypt","Africa",2018,71371371
"123",1162,"United Kingdom","Europe",2022,69175770
"124",565,"Thailand","Asia",2019,68270489
"125",1345,"Thailand","Asia",2023,67880083
"126",112,"Mexico","Americas",2017,67705186
"127",967,"United Kingdom","Europe",2021,67508936
"128",772,"United Kingdom","Europe",2020,67281039
"129",1297,"Niger","Africa",2023,67043296
"130",250,"Ethiopia","Africa",2018,67031867
"131",438,"DR Congo","Africa",2019,66391257
"132",1228,"France","Europe",2023,65827072
"133",1033,"France","Europe",2022,65543452
"134",954,"Tanzania","Africa",2021,65497748
"135",1138,"South Africa","Africa",2022,64659278
"136",838,"France","Europe",2021,64626628
"137",643,"France","Europe",2020,64531444
"138",376,"Turkey","Asia",2018,64113547
"139",759,"Tanzania","Africa",2020,63588334
"140",1063,"Kenya","Africa",2022,63103942
"141",370,"Thailand","Asia",2018,63066603
"142",1289,"Mozambique","Africa",2023,63044497
"143",577,"United Kingdom","Europe",2019,62760039
"144",448,"France","Europe",2019,62444567
"145",1173,"Algeria","Africa",2023,60001113
"146",1290,"Myanmar","Asia",2023,59929399
"147",943,"South Africa","Africa",2021,59893885
"148",473,"Italy","Europe",2019,59822450
"149",748,"South Africa","Africa",2020,59392255
"150",668,"Italy","Europe",2020,59240329
"151",863,"Italy","Europe",2021,59037474
"152",382,"United Kingdom","Europe",2018,58850043
"153",253,"France","Europe",2018,58665453
"154",1159,"Uganda","Africa",2022,58380262
"155",1058,"Italy","Europe",2022,57544258
"156",1142,"Sudan","Africa",2022,56997099
"157",1207,"Colombia","Americas",2023,56987651
"158",1095,"Myanmar","Asia",2022,56987625
"159",278,"Italy","Europe",2018,56966397
"160",83,"Italy","Europe",2017,56329482
"161",187,"United Kingdom","Europe",2017,56326328
"162",1363,"Yemen","Asia",2023,55296331
"163",900,"Myanmar","Asia",2021,54179306
"164",1012,"Colombia","Americas",2022,54129764
"165",868,"Kenya","Africa",2021,54027487
"166",705,"Myanmar","Asia",2020,53798084
"167",58,"France","Europe",2017,53713830
"168",673,"Kenya","Africa",2020,53005614
"169",1055,"Iraq","Asia",2022,52800825
"170",1253,"Italy","Europe",2023,52250484
"171",1234,"Ghana","Africa",2023,52231785
"172",817,"Colombia","Americas",2021,51874024
"173",553,"South Africa","Africa",2019,51784921
"174",1177,"Argentina","Americas",2023,51621175
"175",1271,"Madagascar","Africa",2023,51592965
"176",622,"Colombia","Americas",2020,51516562
"177",1200,"Cameroon","Africa",2023,51279560
"178",976,"Afghanistan","Asia",2022,50330837
"179",185,"Ukraine","Europe",2017,49973920
"180",978,"Algeria","Africa",2022,49787283
"181",510,"Myanmar","Asia",2019,49390988
"182",380,"Ukraine","Europe",2018,48879755
"183",243,"DR Congo","Africa",2018,48616317
"184",138,"Philippines","Asia",2017,48419546
"185",1323,"Saudi Arabia","Asia",2023,48374543
